,Model,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score
st,KMeans,0.26565215,1.180373297489759,1387.1694255185664
st,HDBSCAN,0.21839252,2.553022289169687,1107.1913040181619
st,Agglomerative,0.2889751,1.3337026793280422,2177.8567733861832
ts,KMeans,0.28941253,1.4668229748202197,1048.5906229520122
ts,HDBSCAN,0.23051168,1.4786427394860375,399.08593046796744
ts,Agglomerative,0.46253133,1.1914821576362074,584.8735203371832
mm,KMeans,0.48390657,0.7107442000065297,5941.382243252852
mm,HDBSCAN,0.4012285,1.3136006683193164,3380.9933991941953
mm,Agglomerative,0.5374236,0.6673188671497396,8602.965822973227
lf,KMeans,0.19202057,1.4197300410227456,949.2918591962167
lf,HDBSCAN,-0.0750442,2.695108427053165,297.31317743181756
lf,Agglomerative,0.25790954,1.424516921057215,1925.8816979905016
