,st_KMeans,st_HDBSCAN,st_Agglomerative,ts_KMeans,ts_HDBSCAN,ts_Agglomerative,mm_KMeans,mm_HDBSCAN,mm_Agglomerative,lf_KMeans,lf_HDBSCAN,lf_Agglomerative
0,0,0,1,3,8,57,7,13,33,12,-1,1
1,4,1,0,17,-1,41,2,3,4,13,0,0
2,3,0,1,7,-1,78,1,4,20,5,-1,1
3,6,0,1,13,26,10,4,13,24,7,-1,1
4,1,1,0,19,-1,86,6,2,32,4,0,0
5,12,1,0,0,-1,56,6,10,14,8,0,0
6,12,1,0,2,25,15,13,12,10,8,0,0
7,0,0,1,0,-1,77,7,13,33,12,-1,1
8,8,-1,1,3,8,57,4,14,35,15,-1,1
9,2,0,2,6,22,61,9,1,36,11,2,2
10,9,1,0,10,18,87,13,6,3,10,-1,0
11,12,1,0,3,5,95,6,10,14,8,0,0
12,3,0,1,3,5,95,1,4,27,5,0,1
13,12,1,0,1,-1,62,6,10,14,19,-1,0
14,12,1,0,1,3,3,6,10,14,8,0,0
15,10,-1,2,18,-1,71,5,1,5,18,-1,2
16,1,1,0,4,11,18,8,5,11,4,0,0
17,5,-1,0,20,-1,12,8,2,6,6,-1,0
18,4,1,0,1,2,4,2,3,4,13,0,0
19,1,1,0,16,21,59,2,3,4,14,-1,0
20,0,0,1,20,-1,19,1,4,27,12,-1,1
21,4,1,0,13,12,21,2,3,4,13,0,0
22,2,0,2,20,10,88,9,1,36,11,2,2
23,13,0,1,20,11,13,11,11,2,2,0,1
24,14,0,2,0,16,84,14,0,8,0,2,2
25,1,1,0,15,-1,80,8,2,32,14,-1,0
26,6,0,1,19,20,6,0,6,3,7,-1,1
27,3,0,1,9,4,76,10,4,1,5,0,1
28,7,-1,1,0,-1,77,8,2,6,17,-1,1
29,12,1,0,8,20,60,6,10,14,8,0,0
30,16,-1,0,20,-1,19,13,12,10,19,-1,0
31,3,0,1,8,19,35,10,4,1,5,-1,1
32,15,1,0,15,-1,80,13,12,10,16,-1,0
33,1,1,0,3,5,95,13,6,3,1,-1,0
34,8,0,1,13,21,69,4,14,35,15,-1,1
35,3,0,1,11,9,2,4,-1,25,5,1,1
36,4,1,0,20,-1,12,2,3,4,13,0,0
37,8,0,1,1,2,4,11,11,2,9,-1,1
38,9,1,0,20,10,23,6,2,32,10,-1,0
39,13,0,1,3,5,95,11,11,21,9,0,1
40,6,0,1,11,6,1,7,13,33,7,1,1
41,8,0,1,3,8,57,1,4,20,9,-1,1
42,12,1,0,7,-1,51,13,12,10,8,-1,0
43,1,1,0,0,16,45,6,2,32,14,0,0
44,4,1,0,11,9,2,2,3,4,13,0,0
45,0,0,1,16,21,59,7,13,33,12,-1,1
46,3,0,1,11,-1,24,10,4,1,5,-1,1
47,3,0,1,13,12,21,4,-1,17,5,-1,1
48,14,0,2,10,-1,70,14,0,8,0,-1,2
49,15,-1,0,1,3,3,13,10,10,16,-1,0
50,3,0,1,11,7,85,1,4,7,5,0,1
51,15,1,0,6,23,91,13,12,10,16,0,0
52,16,1,0,1,-1,62,13,12,10,19,-1,0
53,3,0,1,15,0,39,1,4,20,5,0,1
54,14,-1,2,17,23,47,14,0,9,3,-1,2
55,10,-1,2,6,22,47,9,1,16,3,-1,2
56,14,0,2,14,-1,12,3,8,38,0,2,2
57,4,1,0,11,6,1,2,3,4,13,0,0
58,14,0,2,12,-1,93,5,1,30,11,2,2
59,5,1,0,7,20,28,2,3,4,6,-1,0
60,5,1,0,7,-1,28,6,10,14,8,-1,0
61,4,1,0,3,8,57,2,3,4,13,0,0
62,1,1,0,8,20,97,12,8,26,14,0,0
63,13,-1,1,1,2,4,11,11,2,2,-1,1
64,7,-1,2,2,24,38,9,1,16,17,-1,2
65,3,0,1,8,20,60,10,4,1,5,0,1
66,10,-1,2,5,13,14,5,-1,12,3,-1,2
67,2,0,2,5,26,9,9,1,18,11,2,2
68,6,0,1,13,21,69,7,13,15,7,-1,1
69,12,1,0,1,3,3,6,10,14,8,0,0
70,12,1,0,3,5,95,6,10,14,8,0,0
71,8,0,1,17,-1,48,7,-1,33,9,-1,1
72,9,1,0,13,26,10,12,8,22,10,-1,0
73,8,0,1,1,2,4,11,11,2,9,-1,1
74,8,0,1,5,-1,55,10,4,1,9,-1,1
75,14,0,2,16,-1,83,14,0,9,0,2,2
76,1,1,0,19,16,46,2,3,4,14,-1,0
77,1,1,0,15,1,50,6,2,32,14,0,0
78,6,0,1,16,-1,54,7,13,15,7,1,1
79,5,1,0,0,-1,56,6,10,14,6,-1,0
80,3,0,1,18,-1,72,10,4,20,5,-1,1
81,4,1,0,7,20,28,2,3,4,13,0,0
82,16,1,0,1,2,4,13,12,10,19,-1,0
83,0,0,1,20,10,33,7,13,33,12,-1,1
